cell	class	scenarios_observing	loudest_dB_rel
192	NOT-CARRIED	0	
224	NOT-CARRIED	0	
256	NOT-CARRIED	0	
288	NOT-CARRIED	0	
320	CARRIED	7	20.3
336	NOT-CARRIED	0	
352	NOT-CARRIED	0	
400	NOT-CARRIED	0	
416	NOT-CARRIED	0	
432	NOT-CARRIED	0	
448	NOT-CARRIED	0	
464	NOT-CARRIED	0	
480	NOT-CARRIED	0	
496	NOT-CARRIED	0	
512	NOT-CARRIED	0	
528	NOT-CARRIED	0	
560	NOT-CARRIED	0	
576	NOT-CARRIED	0	
656	CARRIED	1	-133.8
672	NOT-CARRIED	0	
688	NOT-CARRIED	0	
704	CARRIED	3	2.7
720	NOT-CARRIED	0	
736	NOT-CARRIED	0	
752	NOT-CARRIED	0	
880	NOT-CARRIED	0	
896	NOT-CARRIED	0	
928	NOT-CARRIED	0	
960	NOT-CARRIED	0	
992	NOT-CARRIED	0	
1024	NOT-CARRIED	0	
1104	NOT-CARRIED	0	
1120	NOT-CARRIED	0	
1136	NOT-CARRIED	0	
1408	NOT-CARRIED	0	
1424	NOT-CARRIED	0	
1440	NOT-CARRIED	0	
1456	NOT-CARRIED	0	
1472	NOT-CARRIED	0	
1488	NOT-CARRIED	0	
1504	CARRIED	3	-32.9
1520	NOT-CARRIED	0	
1536	CARRIED	6	-50.6
1552	NOT-CARRIED	0	
1568	NOT-CARRIED	0	
1584	NOT-CARRIED	0	
1600	NOT-CARRIED	0	
1616	NOT-CARRIED	0	
1648	NOT-CARRIED	0	
1664	NOT-CARRIED	0	
1680	NOT-CARRIED	0	
1696	NOT-CARRIED	0	
1712	NOT-CARRIED	0	
1728	NOT-CARRIED	0	
1744	NOT-CARRIED	0	
1760	NOT-CARRIED	0	
1776	NOT-CARRIED	0	
1792	NOT-CARRIED	0	
1808	NOT-CARRIED	0	
1824	NOT-CARRIED	0	
1840	NOT-CARRIED	0	
2528	NOT-CARRIED	0	
2544	NOT-CARRIED	0	
2576	NOT-CARRIED	0	
2592	CARRIED	6	-44.8
2608	NOT-CARRIED	0	
2624	CARRIED	6	0.2
2640	NOT-CARRIED	0	
2656	NOT-CARRIED	0	
2672	CARRIED	4	-67.5
2688	NOT-CARRIED	0	
2704	NOT-CARRIED	0	
2720	CARRIED	6	-124.9
2736	NOT-CARRIED	0	
2752	NOT-CARRIED	0	
2768	NOT-CARRIED	0	
3056	NOT-CARRIED	0	
3072	CARRIED	5	-55.8
3088	NOT-CARRIED	0	
3104	CARRIED	5	-1.3
3120	NOT-CARRIED	0	
3136	NOT-CARRIED	0	
